sna,sarea,sno,tot,sbi,mday,lat,lng,bemp,act
壽山動物園停車場,鼓山區,501209098,15,3,20230319174117,22.6347,120.28037,11,1
環區一南二路口,前鎮區,501208113,20,3,20230320072542,22.59753,120.29395,17,1
環區四南二路口,前鎮區,501208114,20,3,20230320132615,22.59588,120.29137,17,1
漁港南一興漁三路口,前鎮區,501208112,32,1,20230318165816,22.56726,120.31593,31,1
修文一心二路口,前鎮區,501208111,15,3,20230320134415,22.611899,120.309591,12,1
鼓山鼓山三路209巷口,鼓山區,501209096,15,5,20230320084443,22.66511,120.28037,9,1
鼓山鼓山三路153巷口,鼓山區,501209097,15,4,20230320134240,22.66241,120.27796,11,1
瑞祥高中(忠誠路),前鎮區,501208110,20,17,20230320082816,22.60045,120.32398,3,1
七賢新盛一街口,前金區,501205039,17,1,20230320141205,22.63317,120.29551,16,1
翠亨北漁港路口,前鎮區,501208109,17,10,20230320143340,22.58407,120.3252,7,1
興仁公園(興旺路),前鎮區,501208105,15,7,20230320084242,22.58612,120.31107,8,1
河南市中一路口,前金區,501205038,20,2,20230320130116,22.63304,120.28845,17,1
籬仔內公園,前鎮區,501208108,19,4,20230320105841,22.60507,120.31976,15,1
瑞南公園(瑞南街),前鎮區,501208103,15,3,20230320145215,22.59577,120.31737,10,1
文小九公園(鎮東五街),前鎮區,501208104,14,2,20230320144741,22.58878,120.3114,12,1
民瑞中山三路口,前鎮區,501208106,16,3,20230320144715,22.60426,120.30989,13,1
光華鄭和南路口,前鎮區,501208107,19,2,20230320141023,22.60531,120.31585,16,1
中華美明路口,鼓山區,501209095,14,8,20230320140640,22.66475,120.29209,6,1
五福文武二街口,前金區,501205037,16,1,20230320142815,22.62209,120.29748,15,1
青海美術東四路口,鼓山區,501209094,16,3,20230320145041,22.65128,120.28923,13,1
國民市中一路口,前金區,501205036,15,0,20230320145205,22.62509,120.29168,14,1
時代大道時代南二路口,前鎮區,501208102,18,1,20230320142840,22.59741,120.31114,17,1
富農龍德路口,鼓山區,501209090,14,2,20230320141840,22.65648,120.29743,11,1
美術東四美術東一路口,鼓山區,501209091,16,6,20230320144616,22.65589,120.29018,10,1
內惟公園(九如四路側),鼓山區,501209092,16,6,20230320113543,22.658,120.27881,10,1
大榮高中,鼓山區,501209093,15,11,20230320131142,22.65306,120.27919,4,1
鹽埕市民廣場,鹽埕區,501204024,14,3,20230320135140,22.62583,120.28509,11,1
七賢大公路口,鹽埕區,501204023,15,5,20230320143915,22.62742,120.28278,10,1
河南中華三路口,前金區,501205035,16,2,20230320144641,22.63455,120.29307,14,1
龍德新新順路口,鼓山區,501209086,18,12,20230320144042,22.6544,120.30567,6,1
五福成功一路口,前金區,501205034,28,21,20230320144914,22.6212,120.29468,7,1
興東公園,前鎮區,501208100,19,8,20230320144715,22.61096,120.31494,11,1
壽山國中,鼓山區,501209088,15,2,20230320075444,22.63287,120.27845,13,1
勞工公園,前鎮區,501208095,25,3,20230320144042,22.60648,120.31005,22,1
樂群國小,前鎮區,501208097,20,2,20230320102416,22.60746,120.32297,18,1
中華中華五路939巷口,前鎮區,501208099,15,4,20230320141240,22.60057,120.30646,11,1
高雄捷運股份有限公司,前鎮區,501208098,15,2,20230320144341,22.58298,120.33272,13,1
廣西梧州街口,前鎮區,501208096,14,4,20230320143715,22.6152,120.31571,10,1
七賢國中(美術東四路),鼓山區,501209087,21,9,20230320143415,22.65871,120.29012,12,1
內惟車站(翠華路),鼓山區,501209079,25,1,20230320144105,22.66621,120.28705,24,1
內惟車站(馬卡道路),鼓山區,501209080,21,5,20230320144940,22.6654,120.28703,16,1
中華翠華路口,鼓山區,501209083,20,4,20230320144315,22.6676,120.28816,16,1
美術北三馬卡道路口,鼓山區,501209084,20,3,20230320145341,22.66424,120.28617,17,1
桃子園鼓山三路(東南側),鼓山區,501209082,30,8,20230320141816,22.67119,120.28554,22,1
翠華葆楨路口,鼓山區,501209081,15,5,20230320143141,22.66118,120.28349,10,1
鼓山車站,鼓山區,501209085,16,9,20230320131617,22.64183,120.28051,7,1
凱旋一心一路口,前鎮區,501208088,20,2,20230320144341,22.60532,120.32478,18,1
高雄軟體園區,前鎮區,501208091,30,23,20230320145140,22.60462,120.299387,7,1
育群兒童遊戲場,前鎮區,501208094,16,4,20230320102641,22.60513,120.32202,12,1
公園二光榮街口,鹽埕區,501204022,16,4,20230320140139,22.62091,120.28433,12,1
三多桂林街口,前鎮區,501208092,15,2,20230320143516,22.61763,120.31566,13,1
鎮東公園,前鎮區,501208093,17,6,20230320134941,22.59208,120.30916,11,1
西山兒童遊戲場,前鎮區,501208089,16,2,20230320145022,22.60967,120.31034,14,1
內惟國小(鼓山三路),鼓山區,501209075,16,12,20230320144516,22.656564,120.275422,4,1
中華郵政前峰郵局,鼓山區,501209061,13,2,20230320144706,22.66828,120.28631,11,1
高雄市立圖書館鼓山分館,鼓山區,501209076,13,8,20230320131416,22.65351,120.27568,5,1
中華一青海路口,鼓山區,501209078,13,6,20230320144140,22.65109,120.29174,7,1
前峰兒童遊戲場,鼓山區,501209077,15,3,20230320143915,22.66554,120.28434,12,1
捷運三多商圈站(3號出口),前鎮區,501208087,31,7,20230320144215,22.61323,120.30492,24,1
一心和平二路口,前鎮區,501208073,20,4,20230320132615,22.607,120.32026,16,1
愛群國小,前鎮區,501208086,24,2,20230320120941,22.61507,120.31296,22,1
凱興凱旺街口,前鎮區,501208090,15,9,20230320104814,22.59235,120.32181,6,1
輕軌駁二蓬萊站,鹽埕區,501204020,20,13,20230320144516,22.62069,120.27975,7,1
大義截流站,鹽埕區,501204021,20,14,20230320145316,22.61898,120.28411,6,1
環區一環區四路口,前鎮區,501208083,11,7,20230320135715,22.58896,120.29666,4,1
中山大學海資館,鼓山區,501209071,17,15,20230320144940,22.63037,120.26234,2,1
獅甲公園,前鎮區,501208085,17,4,20230320134640,22.61215,120.30641,13,1
瑞崗兒童遊戲場,前鎮區,501208084,11,2,20230320143038,22.60625,120.3315,9,1
輕軌馬卡道站,鼓山區,501209074,23,14,20230320145341,22.64757,120.28133,9,1
青海公園,鼓山區,501209073,15,4,20230320145417,22.65147,120.28369,11,1
中山大學體育館,鼓山區,501209069,18,12,20230320145417,22.62513,120.26607,5,1
中山大學西灣藝廊,鼓山區,501209070,17,13,20230320144715,22.62727,120.26503,3,1
鼓山國小(登山街),鼓山區,501209062,15,4,20230320145241,22.6244,120.27227,11,1
龍德新自由一路口,鼓山區,501209072,20,5,20230320145443,22.65477,120.30712,15,1
林森中華五路口,前鎮區,501208082,10,6,20230320143340,22.60955,120.30361,4,1
翠華日昌路口,鼓山區,501209068,17,3,20230320140640,22.65873,120.28213,14,1
美術東二美術北三路口,鼓山區,501209066,14,4,20230320140517,22.66324,120.28868,10,1
公園二大勇路口,鹽埕區,501204017,15,1,20230320135616,22.62158,120.28293,13,1
公園二大義街口,鹽埕區,501204016,20,6,20230320144940,22.62023,120.28574,14,1
公園二七賢三路口,鹽埕區,501204018,24,4,20230320143841,22.6229,120.28015,20,1
輕軌機廠站,前鎮區,501208080,14,3,20230320112044,22.60884,120.32543,11,1
輕軌凱旋二聖站,前鎮區,501208081,20,11,20230320145022,22.61174,120.32676,9,1
綠川河川街口,鼓山區,501209067,15,1,20230320142341,22.63529,120.28377,14,1
明華國中(南屏路),鼓山區,501209063,24,17,20230320144542,22.66238,120.30016,7,1
河邊興隆路口,鼓山區,501209065,15,1,20230320141816,22.63651,120.28384,14,1
雄峰公園(鼓山三路),鼓山區,501209064,15,1,20230320143026,22.66763,120.28224,14,1
大安公園,鹽埕區,501204015,15,3,20230320131742,22.62393,120.27848,12,1
裕誠美術館路口,鼓山區,501209056,15,3,20230320131416,22.65484,120.294,12,1
裕誠富農路口,鼓山區,501209058,15,3,20230320133840,22.65657,120.29406,12,1
北一路西十一街口,前鎮區,501208064,20,12,20230320140415,22.60535,120.28848,8,1
高雄加工出口區員工宿舍(擴建路),前鎮區,501208065,10,1,20230320144516,22.59091,120.30436,9,1
高雄市音樂館,鹽埕區,501204014,16,5,20230320124140,22.62784,120.28693,11,1
五福建國路口東南側,鹽埕區,501204012,14,12,20230320145041,22.62508,120.2804,1,1
中華一路828號南側,鼓山區,501209050,13,8,20230320133615,22.66002,120.29209,5,1
鼓山區戶政事務所第二辦公處,鼓山區,501209057,10,7,20230320082316,22.66743,120.28952,3,1
輕軌文武聖殿站,鹽埕區,501204011,15,1,20230320144415,22.62916,120.28071,14,1
前鎮圖書館,前鎮區,501208072,14,4,20230320141440,22.60247,120.33341,10,1
西藏翠華路口,鼓山區,501209060,20,1,20230320123705,22.6549,120.28159,19,1
中山大學工學院,鼓山區,501209051,24,24,20230320144605,22.62666,120.26659,0,1
中山大學材料大樓,鼓山區,501209054,10,9,20230320145041,22.6271,120.26689,1,1
河東民生路口,前金區,501205031,27,7,20230320144641,22.624,120.29038,20,1
行政院南部聯合服務中心(舊址),前金區,501205033,15,3,20230320141041,22.6295,120.29177,12,1
國慶明龍街口,前鎮區,501208071,11,5,20230320121116,22.58754,120.338,6,1
臨加東臨加北路口,前鎮區,501208066,12,8,20230320120241,22.57796,120.31958,4,1
漁港草衙二路口,前鎮區,501208070,20,9,20230320124940,22.58156,120.32284,11,1
裕興華泰路185巷口,鼓山區,501209055,14,1,20230320133541,22.66984,120.29242,13,1
新正薪醫院,前鎮區,501208067,10,8,20230320143915,22.60797,120.31802,2,1
前金國小(成功路),前金區,501205027,10,5,20230320141941,22.62583,120.29317,5,1
立德棒球場(旺盛街),前金區,501205030,10,5,20230320143841,22.62985,120.2882,5,1
捷運市議會站(1號出口),前金區,501205028,10,0,20230320145417,22.62917,120.2938,10,1
七賢成功路口東北側,前金區,501205029,10,4,20230320140240,22.63163,120.29105,6,1
康定康定路166巷口,前鎮區,501208069,10,3,20230320140315,22.58932,120.31634,7,1
七賢府北路口西側,鹽埕區,501204013,15,3,20230320145316,22.62962,120.28513,12,1
前鎮高中(樹人路側),前鎮區,501208068,10,9,20230320134941,22.58756,120.32066,1,1
成功特殊教育學校,前鎮區,501208079,12,4,20230320135815,22.60568,120.30235,8,1
獅甲社區,前鎮區,501208077,10,6,20230320144542,22.60331,120.30569,4,1
正勤停車場,前鎮區,501208078,19,12,20230320144215,22.60431,120.30914,7,1
英德街公有民營停車場,前鎮區,501208075,12,5,20230320143315,22.61387,120.32246,7,1
光華國中(和平二路),前鎮區,501208076,15,7,20230320134640,22.61156,120.32244,8,1
中山大學圖資大樓,鼓山區,501209052,22,20,20230320144441,22.62708,120.26611,2,1
中華美術北三路口北側,鼓山區,501209053,20,2,20230320144815,22.66267,120.29222,18,1
瑞福路公共停車場,前鎮區,501208074,19,5,20230320135541,22.6077,120.33543,14,1
美術東二明誠路口(西南側),鼓山區,501209018,20,18,20230320143741,22.66118,120.28836,2,1
捷運西子灣站(2號出口),鼓山區,501209023,27,0,20230320145105,22.62118,120.27523,27,1
捷運西子灣站(1號出口),鼓山區,501209026,17,0,20230320145417,22.622126,120.273481,17,1
哨船安海街口(東側),鼓山區,501209022,10,8,20230320143415,22.61905,120.26924,2,1
鹽埕立體停車場,鹽埕區,501204009,20,9,20230320144616,22.62495,120.28591,11,1
龍勝大順路口,鼓山區,501209043,25,4,20230320123215,22.65452,120.29565,21,1
高雄市政府警察局,前金區,501205019,28,14,20230320144516,22.62774,120.29085,14,1
高雄女中(英雄路口),前金區,501205020,30,14,20230320142132,22.62079,120.29366,16,1
聖和公園,前鎮區,501208058,16,6,20230320144641,22.61211,120.32349,10,1
瑞豐公車總站,前鎮區,501208060,16,9,20230320143641,22.60614,120.33876,7,1
