name,area,id,total_space,lat,lng
壽山動物園停車場,鼓山區,501209098,15,22.63470,120.28037
凱旋青樹,苓雅區,501202091,23,22.63832,120.31768
中三經五路口,楠梓區,501210115,18,22.72344,120.30111
漯底山自然公園,彌陀區,501223004,14,22.77105,120.25343
梓信社區活動中心,梓官區,501213010,15,22.76458,120.26438
信蚵里社區聯合活動中心,梓官區,501213011,15,22.72949,120.25465
內環南經五路口,楠梓區,501210113,13,22.71752,120.30334
經四開發路口,楠梓區,501210114,16,22.72110,120.30347
環區一南二路口,前鎮區,501208113,20,22.59753,120.29395
環區四南二路口,前鎮區,501208114,20,22.59588,120.29137
中安桂平街口,小港區,501212063,16,22.58499,120.35237
高鐵大中二路口,左營區,501207126,20,22.68495,120.30584
橋都新南二街口,橋頭區,501220021,19,22.73305,120.30182
大舍南大舍南路96巷口,梓官區,501213009,12,22.74494,120.26227
博愛大順一路口(東北側),左營區,501207125,23,22.65643,120.30333
楠梓文中足球場,楠梓區,501210106,15,22.72540,120.28589
孔鳳兒童遊戲場,小港區,501212060,12,22.58239,120.35749
桂林兒童遊戲場,小港區,501212061,16,22.58049,120.35403
小港國中,小港區,501212062,22,22.56632,120.33854
漁港南一興漁三路口,前鎮區,501208112,32,22.56726,120.31593
潮寮國中,大寮區,501219024,15,22.56338,120.42570
琉球黃厝路口,大寮區,501219025,13,22.61488,120.40995
鳳雄國小,燕巢區,501228010,12,22.75347,120.35812
龍德新大順一路口,左營區,501207124,16,22.65610,120.31083
大順寶興路口,三民區,501203144,10,22.64446,120.32625
岡山文化中心(後門),岡山區,501216042,25,22.78258,120.29933
中山高級中學(藍昌路側),楠梓區,501210112,16,22.72960,120.29214
博愛公園(立大路側),左營區,501207122,17,22.67804,120.30608
華夏民族一路口,左營區,501207123,15,22.68814,120.32060
富榮公園,鳳山區,501206150,16,22.59636,120.33722
大順鐵道一街口,三民區,501203143,26,22.63685,120.32718
高雄車站(東南側),三民區,501203142,19,22.63785,120.30342
後安羽球館,仁武區,501214034,18,22.70859,120.34766
援中大學十七街口,楠梓區,501210111,30,22.72279,120.28470
修文一心二路口,前鎮區,501208111,15,22.611899,120.309591
鐵道同盟三路口,三民區,501203141,16,22.63651,120.28562
松樂松光街95巷口,小港區,501212059,14,22.56861,120.37758
鼓山鼓山三路209巷口,鼓山區,501209096,15,22.66511,120.28037
鼓山鼓山三路153巷口,鼓山區,501209097,15,22.66241,120.27796
民族自忠街口,三民區,501203139,15,22.64632,120.31429
博愛九如二路口(西北側),三民區,501203140,28,22.64143,120.30255
大寮運動公園,大寮區,501219023,11,22.60050,120.39266
瑞祥高中(忠誠路),前鎮區,501208110,20,22.60045,120.32398
七賢新盛一街口,前金區,501205039,17,22.63317,120.29551
大華夢公園,鳥松區,501218024,13,22.65177,120.34355
大社國中(中山路),大社區,501222008,15,22.73085,120.35566
台上里活動中心,岡山區,501216041,15,22.80618,120.29687
翠亨北漁港路口,前鎮區,501208109,17,22.58407,120.32520
惠義惠心街口,楠梓區,501210110,20,22.73090,120.32448
成功南橋新六路口,橋頭區,501220020,17,22.74954,120.31411
壽天國小,岡山區,501216040,17,22.79930,120.29165
都會公園停車場(德民路),楠梓區,501210109,15,22.73242,120.31912
興仁公園(興旺路),前鎮區,501208105,15,22.58612,120.31107
河南市中一路口,前金區,501205038,20,22.63304,120.28845
福誠一三誠路口,鳳山區,501206149,15,22.59277,120.32526
鐵道憲政路138巷口,三民區,501203138,20,22.63759,120.32357
大灣綜合活動中心,仁武區,501214033,16,22.67647,120.33775
籬仔內公園,前鎮區,501208108,19,22.60507,120.31976
海邊苓中路口,苓雅區,501202088,30,22.61595,120.29268
輕軌旅運中心站(海邊路),苓雅區,501202089,23,22.61177,120.29348
三多公有停車場,苓雅區,501202090,18,22.62401,120.33802
瑞南公園(瑞南街),前鎮區,501208103,15,22.59577,120.31737
文小九公園(鎮東五街),前鎮區,501208104,14,22.58878,120.31140
民瑞中山三路口,前鎮區,501208106,16,22.60426,120.30989
光華鄭和南路口,前鎮區,501208107,19,22.60531,120.31585
環河鳳東三街口,鳳山區,501206148,15,22.62859,120.38635
捷運大寮機廠,大寮區,501219022,14,22.62516,120.38725
中華美明路口,鼓山區,501209095,14,22.66475,120.29209
五福文武二街口,前金區,501205037,16,22.62209,120.29748
仕隆國小,橋頭區,501220017,15,22.74999,120.31122
大社區公所,大社區,501222007,13,22.73000,120.34664
路科六路科一路口,路竹區,501224011,20,22.83343,120.26263
楠梓國中,楠梓區,501210107,20,22.73592,120.32599
土庫公園,楠梓區,501210108,15,22.73723,120.33301
永忠兒童遊戲場,小港區,501212058,15,22.56442,120.36654
青海美術東四路口,鼓山區,501209094,16,22.65128,120.28923
國民市中一路口,前金區,501205036,15,22.62509,120.29168
新莊一文上路口,左營區,501207121,17,22.67154,120.30031
本洲里活動中心,岡山區,501216039,15,22.80980,120.26129
時代大道時代南二路口,前鎮區,501208102,18,22.59741,120.31114
三民區民眾活動中心,三民區,501203137,25,22.64950,120.32468
灣愛公園,三民區,501203136,15,22.65987,120.31819
富農龍德路口,鼓山區,501209090,14,22.65648,120.29743
美術東四美術東一路口,鼓山區,501209091,16,22.65589,120.29018
中正忠孝一路口,新興區,501201030,15,22.63098,120.30621
沿海工業一路口,林園區,501215010,15,22.49910,120.40603
九番埤濕地公園(霞海南二街),仁武區,501214032,15,22.68103,120.32428
內惟公園(九如四路側),鼓山區,501209092,16,22.65800,120.27881
大榮高中,鼓山區,501209093,15,22.65306,120.27919
同盟合江街口,三民區,501203134,17,22.65069,120.30832
鐵道平等路口,三民區,501203135,15,22.63803,120.32076
東側兒一公園,燕巢區,501228009,10,22.79640,120.32678
鹽埕市民廣場,鹽埕區,501204024,14,22.62583,120.28509
六合公園(六合一路),新興區,501201029,13,22.632833,120.30553
旗糖農創園區(停車場),旗山區,501229008,20,22.88174,120.49127
蓮潭滑水樂園,左營區,501207120,14,22.67842,120.29541
杭州公園,鳳山區,501206147,15,22.62123,120.37580
五林國小,橋頭區,501220018,13,22.75927,120.29405
橋頭國小,橋頭區,501220019,14,22.76183,120.30495
大苓里公園,小港區,501212055,16,22.56735,120.34802
廈莊兒童公園,小港區,501212056,15,22.58213,120.36110
旗糖農創園區,旗山區,501229007,18,22.87804,120.49619
莒光國小(後昌路782巷),楠梓區,501210105,15,22.71142,120.29635
七賢大公路口,鹽埕區,501204023,15,22.62742,120.28278
漢民宮安街口,小港區,501212057,15,22.56269,120.34965
高雄市青少年籃球場,苓雅區,501202087,20,22.62546,120.33332
天祥天祥一路142巷口,三民區,501203132,10,22.66773,120.31905
仁林中華路口,仁武區,501214031,17,22.703000,120.35422
建國青年路口,鳳山區,501206146,14,22.63735,120.35078
正氣兒童公園,岡山區,501216037,15,22.80929,120.28135
甲仙親水公園停車場,甲仙區,501235001,15,23.08244,120.58698
秋元皓東路口,三民區,501203133,14,22.65235,120.33646
經一東三街口,楠梓區,501210104,20,22.72155,120.30875
榕樹公園,三民區,501203131,20,22.64448,120.28942
甲圍公園,橋頭區,501220016,16,22.73874,120.29647
金富金和街口,楠梓區,501210103,20,22.72601,120.31947
河南中華三路口,前金區,501205035,16,22.63455,120.29307
龍德新新順路口,鼓山區,501209086,18,22.65440,120.30567
橋新環新東一街口,橋頭區,501220015,16,22.74015,120.31369
夢-飛翔公園,岡山區,501216035,15,22.78362,120.30382
茄萣國中,茄萣區,501217007,15,22.906916,120.181890
高雄大學活動中心,楠梓區,501210102,20,22.732230,120.280473
五福成功一路口,前金區,501205034,28,22.62120,120.29468
民權興中一路口,苓雅區,501202086,11,22.61868,120.31415
建興正忠路口,三民區,501203130,17,22.64215,120.33010
高坪高坪二十二路口,小港區,501212054,15,22.55453,120.37688
華美里活動中心,鳥松區,501218023,15,22.66229,120.39203
高雄第一殯儀館(本館路600巷),三民區,501203127,20,22.660508,120.33341
高雄第一殯儀館(家屬服務中心),三民區,501203128,15,22.661652,120.33242
鳳林宣武路口,大寮區,501219021,13,22.61385,120.38934
中和公園,鳳山區,501206145,15,22.62622,120.34603
澄清澄明街口,三民區,501203129,16,22.64528,120.34674
愛國超市(德賢店),楠梓區,501210101,15,22.72678,120.30758
前峰國小,岡山區,501216036,15,22.79152,120.28316
天天公園,鳳山區,501206144,16,22.62400,120.38137
七賢民族二路口,新興區,501201028,20,22.63388,120.31310
大埤忠誠路口,鳥松區,501218022,15,22.65850,120.36142
福德公園,鳥松區,501218021,15,22.659100,120.38234
八卦里公有停車場,仁武區,501214030,15,22.68265,120.331920
高雄國軍英雄館,苓雅區,501202085,24,22.620390,120.292910
大學援中路68巷口,楠梓區,501210100,15,22.72798,120.29460
介壽先勝路口,左營區,501207118,13,22.68118,120.280800
梓官老人日照中心,梓官區,501213008,15,22.75913,120.26859
台鐵鳳山車站(西側),鳳山區,501206136,20,22.63210,120.35498
和德街公園(南側),鳳山區,501206142,20,22.61843,120.35938
店鎮公園,小港區,501212052,15,22.56059,120.355160
捷運鳳山國中站(3號出口),鳳山區,501206141,22,22.62515,120.37365
鳳山高中(文建街),鳳山區,501206139,46,22.62973,120.34654
仁美國小,鳥松區,501218019,15,22.65805224,120.394311
江埤美德二街口,鳥松區,501218020,14,22.651945,120.39041
興東公園,前鎮區,501208100,19,22.61096,120.31494
壽山國中,鼓山區,501209088,15,22.63287,120.27845
勞工公園,前鎮區,501208095,25,22.60648,120.31005
家和五偉成街口,鳳山區,501206143,15,22.58611,120.344583
勝利工協街口,鳳山區,501206137,20,22.62995,120.37359
中安德仁路口,小港區,501212053,15,22.584838,120.34914
中安保華一路口,小港區,501212030,15,22.58398,120.34620
樂群國小,前鎮區,501208097,20,22.60746,120.32297
中華中華五路939巷口,前鎮區,501208099,15,22.60057,120.30646
鐵道建國一路62巷口,三民區,501203126,18,22.63516,120.33754
民族河南路口,新興區,501201027,11,22.63612,120.31388
新庄仔博愛二路口(東南側),左營區,501207119,14,22.66999,120.30412
宏平金府路口,小港區,501212051,16,22.56973,120.35440
高雄捷運股份有限公司,前鎮區,501208098,15,22.58298,120.33272
海涵紅毛港路口,鳳山區,501206140,20,22.59149,120.34488
三多文橫二路口,苓雅區,501202084,21,22.614933,120.307015
河華壽華路口,岡山區,501216034,13,22.80123,120.29121
惠智惠勇街口,楠梓區,501210099,15,22.73497,120.32385
霞海榮總路522巷口,仁武區,501214029,12,22.68776,120.32316
廣西梧州街口,前鎮區,501208096,14,22.61520,120.31571
五甲七老爺停車場,鳳山區,501206138,15,22.60130,120.34156
大寮國中,大寮區,501219020,17,22.60295,120.39265
田中央公園,林園區,501215009,15,22.50167,120.38878
大湖車站,路竹區,501224009,20,22.87812,120.25390
樹人醫護管理專科學校,路竹區,501224010,18,22.881647,120.260701
國民市場(仁愛三街),苓雅區,501202083,24,22.621487,120.30881
宏昌兒童遊戲場(加宏路191巷),楠梓區,501210098,17,22.71557,120.29465
新莊翠華路口,左營區,501207117,25,22.67466,120.29563
典寶溪A區滯洪池(清水路),岡山區,501216032,15,22.77876,120.28254
岡山陽明公園,岡山區,501216033,15,22.78568,120.28565
實踐海景街口,左營區,501207111,13,22.69030,120.28788
大豐大豐二路19巷口,三民區,501203123,23,22.64644,120.32606
同盟孝順街,三民區,501203124,18,22.64731,120.313007
同盟大連街,三民區,501203125,25,22.65200,120.30554
七賢國中(美術東四路),鼓山區,501209087,21,22.65871,120.29012
中華橫巷力行路口,三民區,501203122,20,22.63936,120.29072
憲兵204指揮部,鳥松區,501218014,15,22.64752,120.35974
海邊新田路口,苓雅區,501202082,23,22.61881,120.29307
孔宅兒童遊戲場,小港區,501212050,15,22.58032,120.37162
內惟車站(翠華路),鼓山區,501209079,25,22.66621,120.28705
內惟車站(馬卡道路),鼓山區,501209080,21,22.66540,120.28703
中華翠華路口,鼓山區,501209083,20,22.66760,120.28816
美術北三馬卡道路口,鼓山區,501209084,20,22.66424,120.28617
文福青年路口,鳳山區,501206134,20,22.63310,120.34978
鐵道九如一路381巷口,三民區,501203119,20,22.63631,120.33161
捷運三多商圈站(6號出口),苓雅區,501202081,23,22.61484,120.30423
中山苓雅二路口,苓雅區,501202080,26,22.61877,120.30255
山仔頂溝滯洪池,鳳山區,501206115,15,22.634413,120.379291
鳳松博愛路口,鳳山區,501206135,15,22.63105,120.36070
桃子園鼓山三路(東南側),鼓山區,501209082,30,22.67119,120.28554
南區環保公園,三民區,501203116,17,22.66290,120.32860
援中港濕地公園,楠梓區,501210096,14,22.72103,120.25875
中和兒童公園,楠梓區,501210097,20,22.72308,120.28085
海功海富路口,左營區,501207112,15,22.69372,120.28928
富國公園(安吉街),左營區,501207116,25,22.66446,120.30765
高雄大學行政大樓,楠梓區,501210095,20,22.73464,120.28345
菜公公園,左營區,501207115,15,22.67525,120.31580
鳳埤鳳埤街50巷口,鳳山區,501206133,15,22.62921,120.37953
鐵道三中庸街口,三民區,501203121,24,22.63725,120.28851
華榮翠華路口,左營區,501207114,20,22.67165,120.29131
翠華葆楨路口,鼓山區,501209081,15,22.66118,120.28349
橋新一橋新八路口,橋頭區,501220013,19,22.73716,120.31441
橋新七新東一街口,橋頭區,501220014,15,22.73898,120.31628
九番埤濕地公園,仁武區,501214028,17,22.68582,120.32458
旗津海岸公園停車場,旗津區,501211007,19,22.60899,120.26898
鼓山車站,鼓山區,501209085,16,22.64183,120.28051
十全康平街口,三民區,501203113,19,22.64650,120.29438
鐵道復興一路口,三民區,501203118,20,22.63903,120.30859
八德重劃公園,仁武區,501214027,15,22.68227,120.34359
梓和公園,梓官區,501213007,10,22.75757,120.26493
廣昌公園,楠梓區,501210092,14,22.70590,120.28704
凱旋一心一路口,前鎮區,501208088,20,22.60532,120.32478
高雄軟體園區,前鎮區,501208091,30,22.604620,120.299387
育群兒童遊戲場,前鎮區,501208094,16,22.60513,120.32202
公園二光榮街口,鹽埕區,501204022,16,22.62091,120.28433
宏光宏智街口,小港區,501212047,20,22.56940,120.36317
三多桂林街口,前鎮區,501208092,15,22.61763,120.31566
中庄國小,大寮區,501219005,18,22.63447,120.39736
鎮東公園,前鎮區,501208093,17,22.59208,120.30916
武昌武昌路40巷口,苓雅區,501202079,20,22.61867,120.33569
創新芎林一街口,楠梓區,501210094,16,22.75039,120.33146
長樂和興街口,鳳山區,501206132,16,22.61714,120.35594
宏平沿海一路口,小港區,501212046,20,22.56947,120.35013
崇德翠華路口,左營區,501207113,20,22.67847,120.29829
餐旅大學(松信路),小港區,501212048,40,22.56080,120.37361
西山兒童遊戲場,前鎮區,501208089,16,22.60967,120.31034
中山河北一路口,三民區,501203117,16,22.636702,120.302484
小機堡停車場,橋頭區,501220012,15,22.75546,120.31301
鹽埔農村社區活動中心,岡山區,501216031,15,22.77054,120.28138
高雄科大第一西校區游泳池,楠梓區,501210079,17,22.75479,120.33151
高雄科大第一東校區財金學院,楠梓區,501210080,15,22.75561,120.33461
內惟國小(鼓山三路),鼓山區,501209075,16,22.656564,120.275422
中華郵政前峰郵局,鼓山區,501209061,13,22.66828,120.28631
正義車站(鐵道街),三民區,501203115,28,22.63431,120.34164
海風社區公園,鳳山區,501206092,14,22.63317,120.37475
高雄科大第一東校區第三停車場,楠梓區,501210082,18,22.75725,120.33957
台機大地街口,小港區,501212049,30,22.56108,120.34757
高雄科大第一東校區校門,楠梓區,501210081,12,22.75864,120.33616
高雄市立圖書館鼓山分館,鼓山區,501209076,13,22.65351,120.27568
中華一青海路口,鼓山區,501209078,13,22.65109,120.29174
勝利建國路一段口,鳳山區,501206093,15,22.63537,120.37444
自由察哈爾一街口,三民區,501203114,28,22.64754,120.30903
空軍軍史館,岡山區,501216030,30,22.78466,120.27211
前峰兒童遊戲場,鼓山區,501209077,15,22.66554,120.28434
捷運三多商圈站(3號出口),前鎮區,501208087,31,22.61323,120.30492
寶安里活動中心,三民區,501203112,15,22.64099,120.32886
角宿天后宮活動中心,燕巢區,501228008,16,22.77028,120.35992
一心和平二路口,前鎮區,501208073,20,22.60700,120.32026
愛群國小,前鎮區,501208086,24,22.61507,120.31296
凱興凱旺街口,前鎮區,501208090,15,22.59235,120.32181
天順港福街29巷口,小港區,501212041,11,22.56851,120.33423
輕軌駁二蓬萊站,鹽埕區,501204020,20,22.62069,120.27975
小港森林公園(秀峰街),小港區,501212045,20,22.56809,120.37071
三隆兒童公園,大寮區,501219019,10,22.59988,120.40453
